name,severity,latitude,longitude,image
Location A,bad,45.7489,21.2087,img0.jpg
Location B,warning,44.4268,26.1025,img1.jpg
Location C,ok,46.7712,23.6236,img2.jpg
c.d.loga,ok,45.752914041430714,21.23461317559228,img3.jpg
Timisoara,warning,45.762914041430714,21.23461317559228,img_10.jpg
Timisoara,warning,None,None,frame_0.jpg
Timisoara,warning,None,None,frame_0.jpg
Timisoara,ok,None,None,frame_0.jpg
Timisoara,warning,None,None,frame_0.jpg
Timisoara,bad,None,None,frame_0.jpg
Timisoara,warning,None,None,frame_100.jpg
Timisoara,warning,None,None,frame_101.jpg
Timisoara,bad,None,None,frame_102.jpg
Timisoara,bad,None,None,frame_103.jpg
Timisoara,bad,None,None,frame_104.jpg
Timisoara,warning,None,None,frame_105.jpg
Timisoara,bad,None,None,frame_106.jpg
Timisoara,ok,None,None,frame_107.jpg
Timisoara,warning,None,None,frame_108.jpg
Timisoara,bad,None,None,frame_109.jpg
Timisoara,warning,None,None,frame_110.jpg
Timisoara,ok,None,None,frame_111.jpg

Timisoara,warning,None,None,frame_112.jpg
Timisoara,warning,None,None,frame_113.jpg
Timisoara,warning,None,None,frame_114.jpg
Timisoara,ok,None,None,frame_115.jpg
Timisoara,warning,None,None,frame_116.jpg
Timisoara,bad,None,None,frame_117.jpg
Timisoara,ok,None,None,frame_118.jpg
Timisoara,bad,None,None,frame_119.jpg
Timisoara,bad,None,None,frame_120.jpg
Timisoara,bad,None,None,frame_121.jpg
Timisoara,warning,None,None,frame_122.jpg
Timisoara,ok,None,None,frame_123.jpg
Timisoara,ok,None,None,frame_124.jpg
